BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,MarketSegment,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
29020,211,2018,5,20,0,2,Meal Plan 1,0,Room_Type 1,Online,2,0,0,0,0,100,0,Not_Canceled
29021,121,2018,7,6,0,4,Meal Plan 1,0,Room_Type 1,Offline,3,0,0,0,0,96.9,1,Canceled
29022,30,2018,11,26,2,1,Not Selected,0,Room_Type 1,Online,2,0,0,0,0,88,0,Not_Canceled
29023,256,2018,6,15,0,2,Meal Plan 2,0,Room_Type 1,Online,2,0,0,0,0,115,1,Canceled
29024,122,2018,11,25,0,1,Meal Plan 1,0,Room_Type 1,Corporate,1,0,0,0,0,67,0,Not_Canceled
29025,37,2017,11,6,1,2,Meal Plan 1,0,Room_Type 1,Online,1,0,0,0,0,37.33,0,Not_Canceled
29026,56,2018,12,7,0,3,Meal Plan 1,0,Room_Type 2,Online,0,2,0,0,0,82.44,1,Canceled
29027,34,2018,6,19,2,1,Meal Plan 1,0,Room_Type 1,Online,1,0,0,0,0,81,0,Not_Canceled
29028,35,2018,6,21,0,2,Meal Plan 1,0,Room_Type 1,Online,2,0,0,0,0,102,1,Canceled
29029,96,2018,4,10,2,1,Meal Plan 1,0,Room_Type 1,Online,3,0,0,0,0,121.8,1,Not_Canceled
29030,57,2018,11,1,0,4,Not Selected,0,Room_Type 1,Online,2,0,0,0,0,79.2,1,Canceled
29031,169,2018,4,22,2,2,Meal Plan 2,0,Room_Type 1,Online,2,0,0,0,0,106,0,Not_Canceled
29032,2,2017,9,10,0,1,Meal Plan 1,0,Room_Type 1,Complementary,1,0,0,0,0,0,1,Not_Canceled
29033,30,2018,10,5,0,3,Meal Plan 1,0,Room_Type 4,Online,2,0,0,0,0,157.5,2,Canceled
29034,267,2018,12,31,1,1,Meal Plan 1,0,Room_Type 4,Online,3,0,0,0,0,121.5,0,Not_Canceled
29035,46,2018,3,4,1,2,Meal Plan 1,1,Room_Type 4,Online,2,0,0,0,0,98.3,1,Not_Canceled
29036,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,Online,1,0,0,0,0,130,0,Not_Canceled
29037,118,2018,4,13,0,4,Meal Plan 1,0,Room_Type 1,Online,2,0,0,0,0,90.95,1,Canceled
29038,189,2018,10,23,1,0,Not Selected,0,Room_Type 1,Online,2,0,0,0,0,85.5,2,Not_Canceled
29039,40,2018,6,30,2,3,Meal Plan 1,0,Room_Type 1,Online,2,0,0,0,0,117.9,1,Not_Canceled
29040,123,2018,8,13,2,2,Meal Plan 1,1,Room_Type 4,Online,3,0,0,0,0,155.7,1,Not_Canceled
29041,68,2018,4,24,2,0,Meal Plan 1,0,Room_Type 4,Online,3,0,0,0,0,133.2,2,Not_Canceled
29042,30,2018,3,30,0,2,Meal Plan 1,0,Room_Type 1,Offline,2,0,0,0,0,85.5,0,Not_Canceled
29043,1,2018,10,20,0,2,Not Selected,0,Room_Type 1,Online,2,0,0,0,0,135,2,Canceled
29044,11,2017,10,9,0,1,Meal Plan 1,0,Room_Type 4,Online,2,0,0,0,0,155,2,Canceled
29045,27,2018,4,15,2,4,Meal Plan 1,0,Room_Type 4,Online,3,0,0,0,0,142.72,0,Not_Canceled
29046,13,2018,5,9,1,2,Meal Plan 1,0,Room_Type 1,Offline,1,0,0,0,0,90,0,Not_Canceled
